0,1,2,5,21,18,18,25,12,15,23,14,33,36,31,56,45,74,68,98,92,59,71,65,59,60,53,42,39,50,46,43,43,39,35,28,22,21,25,22,20
b,r,r,r,r,r,r,r,r,r,r,r,r,b,b,b,b,b,b,b,b,r,r,r,r,r,r,r,r,b,b,b,b,b,b,b,b,r,r,r,r
